Angle DP_number Thrust_angle_deg_thr_1_:_azi_port Rudder_angle_deg_thr1_:_azi_port Nominal_thrust_utilisation_%_thr1_:_azi_port Effective_thrust_kN_thr1_:_azi_port Tx_rudder_kN_thr1_:_azi_port Ty_rudder_kN_thr1_:_azi_port Thrust_loss_factor_thr1_:_azi_port Utilized_power_kW_thr1_:_azi_port Thrust_angle_deg_thr_2_:_azi_stb Rudder_angle_deg_thr2_:_azi_stb Nominal_thrust_utilisation_%_thr2_:_azi_stb Effective_thrust_kN_thr2_:_azi_stb Tx_rudder_kN_thr2_:_azi_stb Ty_rudder_kN_thr2_:_azi_stb Thrust_loss_factor_thr2_:_azi_stb Utilized_power_kW_thr2_:_azi_stb Thrust_angle_deg_thr_3_:_tt1 Rudder_angle_deg_thr3_:_tt1 Nominal_thrust_utilisation_%_thr3_:_tt1 Effective_thrust_kN_thr3_:_tt1 Tx_rudder_kN_thr3_:_tt1 Ty_rudder_kN_thr3_:_tt1 Thrust_loss_factor_thr3_:_tt1 Utilized_power_kW_thr3_:_tt1 Thrust_angle_deg_thr_4_:_tt2 Rudder_angle_deg_thr4_:_tt2 Nominal_thrust_utilisation_%_thr4_:_tt2 Effective_thrust_kN_thr4_:_tt2 Tx_rudder_kN_thr4_:_tt2 Ty_rudder_kN_thr4_:_tt2 Thrust_loss_factor_thr4_:_tt2 Utilized_power_kW_thr4_:_tt2 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_azi_port solution_Ty_kN_thr_:_azi_port solution_Tx_kN_thr_:_azi_stb solution_Ty_kN_thr_:_azi_stb solution_Tx_kN_thr_:_tt1 solution_Ty_kN_thr_:_tt1 solution_Tx_kN_thr_:_tt2 solution_Ty_kN_thr_:_tt2
0 9 0 N/A 77.97 184.17 N/A N/A 0.89 1549 0 N/A 77.97 184.17 N/A N/A 0.89 1549 N/A N/A 0.0 0.0 N/A N/A 0.89 0 N/A N/A 0.0 0.0 N/A N/A 0.87 0 -3.1 0.0 0.0 -135.0 0.0 0.0 -156.6 0.0 0.0 184.2 0.0 184.2 0.0 0.0 0.0 0.0 -0.0
10 9 348 N/A 81.28 191.83 N/A N/A 0.89 1649 347 N/A 76.72 181.07 N/A N/A 0.89 1512 270 N/A 56.65 116.98 N/A N/A 0.89 691 270 N/A 56.92 114.92 N/A N/A 0.87 696 -3.0 20.1 517.3 -133.9 129.4 575.1 -154.2 101.2 3275.2 187.5 -40.7 176.4 -40.7 0.0 -117.0 0.0 -114.9
20 8 335 N/A 60.47 143.51 N/A N/A 0.9 1058 333 N/A 55.01 130.56 N/A N/A 0.9 918 270 N/A 77.44 161.11 N/A N/A 0.9 1104 270 N/A 78.68 162.02 N/A N/A 0.89 1131 -2.9 39.5 1018.9 -88.0 171.9 619.2 -105.9 143.5 4170.7 130.2 -60.3 115.8 -60.3 0.0 -161.1 0.0 -162.0
30 7 322 N/A 46.58 110.81 N/A N/A 0.9 715 317 N/A 42.04 100.01 N/A N/A 0.9 613 270 N/A 80.4 167.68 N/A N/A 0.9 1168 270 N/A 81.98 170.12 N/A N/A 0.89 1202 -2.7 57.8 1489.6 -59.3 178.2 491.7 -66.6 143.2 3689.8 87.4 -68.1 73.3 -68.1 0.0 -167.7 0.0 -170.1
40 7 319 N/A 62.09 147.68 N/A N/A 0.9 1101 290 N/A 43.32 103.04 N/A N/A 0.9 642 270 N/A 100.0 208.52 N/A N/A 0.9 1620 270 N/A 100.0 207.4 N/A N/A 0.89 1620 -2.4 74.3 1711.3 -56.6 229.1 439.0 -58.9 184.0 4138.1 111.6 -96.7 35.7 -96.7 0.0 -208.5 0.0 -207.4
50 6 300 N/A 39.81 94.84 N/A N/A 0.9 565 293 N/A 37.55 89.44 N/A N/A 0.9 518 270 N/A 80.36 167.81 N/A N/A 0.9 1167 270 N/A 81.88 170.63 N/A N/A 0.9 1200 -2.0 88.5 1651.2 -32.4 170.7 183.3 -32.2 142.8 2741.9 47.6 -82.0 35.6 -82.0 0.0 -167.8 0.0 -170.6
60 6 291 N/A 45.36 108.04 N/A N/A 0.9 687 287 N/A 43.88 104.52 N/A N/A 0.9 654 270 N/A 87.36 182.42 N/A N/A 0.9 1323 270 N/A 88.74 184.88 N/A N/A 0.9 1354 -1.5 100.1 1427.7 -28.8 192.9 44.6 -25.0 161.5 2568.4 38.7 -100.9 30.6 -99.9 0.0 -182.4 0.0 -184.9
70 6 279 N/A 51.13 121.77 N/A N/A 0.9 823 287 N/A 49.44 117.74 N/A N/A 0.9 782 270 N/A 91.38 190.8 N/A N/A 0.9 1415 270 N/A 92.47 192.63 N/A N/A 0.9 1441 -1.1 108.6 1072.8 -23.8 209.3 -128.0 -17.1 175.2 2210.4 18.1 -120.4 34.4 -112.6 0.0 -190.8 0.0 -192.6
80 6 268 N/A 57.79 137.62 N/A N/A 0.9 988 287 N/A 53.83 128.2 N/A N/A 0.9 889 270 N/A 92.17 192.42 N/A N/A 0.9 1433 270 N/A 92.89 193.47 N/A N/A 0.9 1450 -0.5 113.8 625.2 -17.1 219.4 -319.0 -8.7 183.6 1712.4 -4.6 -137.5 37.5 -122.6 0.0 -192.4 0.0 -193.5
90 6 259 N/A 64.67 153.99 N/A N/A 0.9 1170 287 N/A 56.68 134.98 N/A N/A 0.9 960 270 N/A 89.94 187.76 N/A N/A 0.9 1382 270 N/A 90.25 187.93 N/A N/A 0.9 1389 -0.0 115.6 127.9 -8.3 222.8 -511.7 -0.0 186.5 1125.3 -29.0 -151.2 39.5 -129.1 0.0 -187.8 0.0 -187.9
