Angle DP_number Thrust_angle_deg_thr_1_:_azi_port Rudder_angle_deg_thr1_:_azi_port Nominal_thrust_utilisation_%_thr1_:_azi_port Effective_thrust_kN_thr1_:_azi_port Tx_rudder_kN_thr1_:_azi_port Ty_rudder_kN_thr1_:_azi_port Thrust_loss_factor_thr1_:_azi_port Utilized_power_kW_thr1_:_azi_port Thrust_angle_deg_thr_2_:_azi_stb Rudder_angle_deg_thr2_:_azi_stb Nominal_thrust_utilisation_%_thr2_:_azi_stb Effective_thrust_kN_thr2_:_azi_stb Tx_rudder_kN_thr2_:_azi_stb Ty_rudder_kN_thr2_:_azi_stb Thrust_loss_factor_thr2_:_azi_stb Utilized_power_kW_thr2_:_azi_stb Thrust_angle_deg_thr_3_:_tt1 Rudder_angle_deg_thr3_:_tt1 Nominal_thrust_utilisation_%_thr3_:_tt1 Effective_thrust_kN_thr3_:_tt1 Tx_rudder_kN_thr3_:_tt1 Ty_rudder_kN_thr3_:_tt1 Thrust_loss_factor_thr3_:_tt1 Utilized_power_kW_thr3_:_tt1 Thrust_angle_deg_thr_4_:_tt2 Rudder_angle_deg_thr4_:_tt2 Nominal_thrust_utilisation_%_thr4_:_tt2 Effective_thrust_kN_thr4_:_tt2 Tx_rudder_kN_thr4_:_tt2 Ty_rudder_kN_thr4_:_tt2 Thrust_loss_factor_thr4_:_tt2 Utilized_power_kW_thr4_:_tt2 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_azi_port solution_Ty_kN_thr_:_azi_port solution_Tx_kN_thr_:_azi_stb solution_Ty_kN_thr_:_azi_stb solution_Tx_kN_thr_:_tt1 solution_Ty_kN_thr_:_tt1 solution_Tx_kN_thr_:_tt2 solution_Ty_kN_thr_:_tt2
0 1 0 N/A 0.26 0.62 N/A N/A 0.9 0 0 N/A 0.26 0.62 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -0.3 0.0 0.0 -0.1 0.0 0.0 -0.6 0.0 0.0 0.6 0.0 0.6 0.0 0.0 0.0 0.0 -0.0
0 2 0 N/A 1.43 3.4 N/A N/A 0.9 4 0 N/A 1.43 3.4 N/A N/A 0.9 4 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -1.4 0.0 0.0 -1.0 0.0 0.0 -3.0 0.0 0.0 3.4 0.0 3.4 0.0 0.0 0.0 0.0 -0.0
0 3 0 N/A 3.91 9.31 N/A N/A 0.9 17 0 N/A 3.91 9.31 N/A N/A 0.9 17 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -3.1 0.0 0.0 -4.2 0.0 0.0 -7.7 0.0 0.0 9.3 0.0 9.3 0.0 0.0 0.0 0.0 -0.0
0 4 0 N/A 7.82 18.65 N/A N/A 0.9 49 0 N/A 7.82 18.65 N/A N/A 0.9 49 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -3.1 0.0 0.0 -10.3 0.0 0.0 -16.4 0.0 0.0 18.6 0.0 18.6 0.0 0.0 0.0 0.0 -0.0
0 5 0 N/A 14.57 34.73 N/A N/A 0.9 125 0 N/A 14.57 34.73 N/A N/A 0.9 125 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -3.1 0.0 0.0 -22.4 0.0 0.0 -30.1 0.0 0.0 34.7 0.0 34.7 0.0 0.0 0.0 0.0 -0.0
0 6 0 N/A 24.07 57.35 N/A N/A 0.9 266 0 N/A 24.07 57.35 N/A N/A 0.9 266 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -3.1 0.0 0.0 -38.6 0.0 0.0 -50.1 0.0 0.0 57.4 0.0 57.4 0.0 0.0 0.0 0.0 -0.0
0 7 0 N/A 37.47 89.17 N/A N/A 0.9 516 0 N/A 37.47 89.17 N/A N/A 0.9 516 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -3.1 0.0 0.0 -62.7 0.0 0.0 -76.9 0.0 0.0 89.2 0.0 89.2 0.0 0.0 0.0 0.0 -0.0
0 8 0 N/A 54.24 128.83 N/A N/A 0.9 899 0 N/A 54.24 128.83 N/A N/A 0.9 899 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.89 0 -3.1 0.0 0.0 -90.3 0.0 0.0 -112.7 0.0 0.0 128.8 0.0 128.8 0.0 0.0 0.0 0.0 -0.0
0 9 0 N/A 77.97 184.17 N/A N/A 0.89 1549 0 N/A 77.97 184.17 N/A N/A 0.89 1549 N/A N/A 0.0 0.0 N/A N/A 0.89 0 N/A N/A 0.0 0.0 N/A N/A 0.87 0 -3.1 0.0 0.0 -135.0 0.0 0.0 -156.6 0.0 0.0 184.2 0.0 184.2 0.0 0.0 0.0 0.0 -0.0
10 1 0 N/A 0.28 0.67 N/A N/A 0.9 0 315 N/A 0.33 0.78 N/A N/A 0.9 0 270 N/A 0.67 1.39 N/A N/A 0.9 1 270 N/A 0.68 1.43 N/A N/A 0.9 1 -0.3 2.2 57.5 -0.1 0.1 0.4 -0.6 0.4 12.4 0.7 0.0 0.6 -0.6 0.0 -1.4 0.0 -1.4
