Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
0 10 0 N/A 70.05 105.33 N/A N/A 0.77 777 0 N/A 70.05 105.33 N/A N/A 0.77 777 0 N/A 92.55 122.12 N/A N/A 0.9 784 N/A N/A 0.0 0.0 N/A N/A 0.83 0 N/A N/A 0.0 0.0 N/A N/A 0.83 0 -1.9 0.0 0.0 -128.3 0.0 0.0 -136.0 0.0 0.0 105.3 0.0 105.3 0.0 122.1 0.0 0.0 0.0 0.0 -0.0
10 10 343 N/A 81.98 122.01 N/A N/A 0.76 984 342 N/A 77.52 115.36 N/A N/A 0.76 904 321 N/A 99.0 130.62 N/A N/A 0.9 867 270 N/A 59.55 56.66 N/A N/A 0.82 414 270 N/A 61.25 58.27 N/A N/A 0.82 431 -1.9 13.3 349.4 -126.2 108.9 426.6 -133.9 93.3 2714.2 116.6 -36.0 109.6 -36.0 101.4 -82.4 0.0 -56.7 0.0 -58.3
20 9 327 N/A 70.11 110.41 N/A N/A 0.81 778 324 N/A 64.41 101.45 N/A N/A 0.81 685 299 N/A 99.57 131.38 N/A N/A 0.9 874 270 N/A 88.37 87.49 N/A N/A 0.86 748 270 N/A 90.82 89.92 N/A N/A 0.86 779 -1.8 26.1 688.1 -94.8 167.7 531.8 -94.3 135.6 3554.8 92.8 -59.8 82.0 -59.8 63.8 -114.8 0.0 -87.5 0.0 -89.9
30 8 313 N/A 54.49 89.85 N/A N/A 0.84 533 308 N/A 50.04 82.5 N/A N/A 0.84 469 290 N/A 99.0 130.63 N/A N/A 0.9 867 270 N/A 87.61 89.11 N/A N/A 0.88 738 270 N/A 89.99 91.53 N/A N/A 0.88 768 -1.6 38.2 1006.0 -61.3 166.2 403.2 -62.6 142.7 3328.5 61.8 -65.2 50.6 -65.2 44.6 -122.8 0.0 -89.1 0.0 -91.5
40 7 301 N/A 44.8 75.64 N/A N/A 0.86 397 295 N/A 42.34 71.49 N/A N/A 0.86 365 284 N/A 98.1 129.44 N/A N/A 0.9 855 270 N/A 74.05 76.16 N/A N/A 0.89 573 270 N/A 75.87 78.04 N/A N/A 0.89 595 -1.5 49.1 1175.3 -40.7 153.6 258.1 -37.8 125.2 2558.9 38.7 -65.0 29.7 -65.0 31.5 -125.6 0.0 -76.2 0.0 -78.0
50 7 289 N/A 54.86 92.45 N/A N/A 0.86 538 294 N/A 52.2 87.97 N/A N/A 0.86 500 280 N/A 99.47 131.25 N/A N/A 0.9 873 270 N/A 92.03 94.57 N/A N/A 0.89 795 270 N/A 94.12 96.73 N/A N/A 0.89 822 -1.2 58.5 1175.7 -37.5 183.0 171.1 -31.7 149.2 2619.1 30.6 -87.2 35.8 -80.4 21.7 -129.4 0.0 -94.6 0.0 -96.7
60 7 322 N/A 99.0 166.51 N/A N/A 0.86 1305 246 N/A 79.84 123.54 N/A N/A 0.79 945 267 N/A 99.78 131.66 N/A N/A 0.9 877 270 N/A 100.0 102.68 N/A N/A 0.89 900 270 N/A 100.0 102.68 N/A N/A 0.89 900 -0.9 66.1 1074.8 -33.2 206.9 39.2 -24.7 168.7 2474.3 131.3 -102.4 -50.3 -112.9 -7.5 -131.4 0.0 -102.7 0.0 -102.7
70 6 272 N/A 50.89 87.18 N/A N/A 0.88 481 294 N/A 45.97 78.75 N/A N/A 0.88 413 270 N/A 87.38 115.29 N/A N/A 0.9 719 270 N/A 67.84 70.16 N/A N/A 0.89 503 270 N/A 68.88 71.24 N/A N/A 0.89 514 -0.6 71.7 890.3 -16.9 141.7 -78.8 -11.0 119.2 1404.6 3.2 -87.1 32.0 -71.9 0.5 -115.3 0.0 -70.2 0.0 -71.2
80 6 267 N/A 58.01 99.27 N/A N/A 0.88 585 294 N/A 50.61 86.6 N/A N/A 0.88 477 267 N/A 88.11 116.26 N/A N/A 0.9 728 270 N/A 68.02 70.33 N/A N/A 0.89 505 270 N/A 68.78 71.11 N/A N/A 0.89 513 -0.3 75.2 643.8 -12.0 148.5 -193.2 -5.6 124.9 1111.6 -5.9 -99.1 35.2 -79.1 -6.9 -116.1 0.0 -70.3 0.0 -71.1
90 6 262 N/A 64.15 109.65 N/A N/A 0.87 681 294 N/A 53.85 92.05 N/A N/A 0.87 524 263 N/A 86.37 113.96 N/A N/A 0.9 706 270 N/A 65.95 68.16 N/A N/A 0.89 482 270 N/A 66.39 68.61 N/A N/A 0.89 487 -0.0 76.3 360.1 -5.8 150.8 -308.6 -0.0 126.8 762.8 -15.4 -108.6 37.4 -84.1 -14.8 -113.0 0.0 -68.2 0.0 -68.6
