Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
0 1 0 N/A 0.16 0.28 N/A N/A 0.9 0 0 N/A 0.16 0.28 N/A N/A 0.9 0 0 N/A 0.18 0.24 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -0.2 0.0 0.0 -0.1 0.0 0.0 -0.4 0.0 0.0 0.3 0.0 0.3 0.0 0.2 0.0 0.0 0.0 0.0 -0.0
0 2 0 N/A 0.91 1.6 N/A N/A 0.9 1 0 N/A 0.91 1.6 N/A N/A 0.9 1 0 N/A 1.03 1.36 N/A N/A 0.9 1 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -0.8 0.0 0.0 -0.8 0.0 0.0 -1.9 0.0 0.0 1.6 0.0 1.6 0.0 1.4 0.0 0.0 0.0 0.0 -0.0
0 3 0 N/A 2.55 4.47 N/A N/A 0.9 5 0 N/A 2.55 4.47 N/A N/A 0.9 5 0 N/A 2.89 3.82 N/A N/A 0.9 4 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -1.9 0.0 0.0 -3.4 0.0 0.0 -4.9 0.0 0.0 4.5 0.0 4.5 0.0 3.8 0.0 0.0 0.0 0.0 -0.0
0 4 0 N/A 5.13 8.97 N/A N/A 0.89 15 0 N/A 5.13 8.97 N/A N/A 0.89 15 0 N/A 5.83 7.69 N/A N/A 0.9 12 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -1.9 0.0 0.0 -8.1 0.0 0.0 -10.5 0.0 0.0 9.0 0.0 9.0 0.0 7.7 0.0 0.0 0.0 0.0 -0.0
0 5 0 N/A 9.57 16.65 N/A N/A 0.89 39 0 N/A 9.57 16.65 N/A N/A 0.89 39 0 N/A 10.92 14.41 N/A N/A 0.9 32 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -1.9 0.0 0.0 -17.0 0.0 0.0 -19.3 0.0 0.0 16.7 0.0 16.7 0.0 14.4 0.0 0.0 0.0 0.0 -0.0
0 6 0 N/A 15.79 27.23 N/A N/A 0.88 83 0 N/A 15.79 27.23 N/A N/A 0.88 83 0 N/A 18.2 24.01 N/A N/A 0.9 68 N/A N/A 0.0 0.0 N/A N/A 0.9 0 N/A N/A 0.0 0.0 N/A N/A 0.9 0 -1.9 0.0 0.0 -28.8 0.0 0.0 -32.1 0.0 0.0 27.2 0.0 27.2 0.0 24.0 0.0 0.0 0.0 0.0 -0.0
0 7 0 N/A 24.69 41.99 N/A N/A 0.87 163 0 N/A 24.69 41.99 N/A N/A 0.87 163 0 N/A 28.84 38.06 N/A N/A 0.9 136 N/A N/A 0.0 0.0 N/A N/A 0.89 0 N/A N/A 0.0 0.0 N/A N/A 0.89 0 -1.9 0.0 0.0 -46.4 0.0 0.0 -49.3 0.0 0.0 42.0 0.0 42.0 0.0 38.1 0.0 0.0 0.0 0.0 -0.0
0 8 0 N/A 35.81 59.62 N/A N/A 0.85 284 0 N/A 35.81 59.62 N/A N/A 0.85 284 0 N/A 42.73 56.38 N/A N/A 0.9 246 N/A N/A 0.0 0.0 N/A N/A 0.88 0 N/A N/A 0.0 0.0 N/A N/A 0.88 0 -1.9 0.0 0.0 -66.3 0.0 0.0 -72.3 0.0 0.0 59.6 0.0 59.6 0.0 56.4 0.0 0.0 0.0 0.0 -0.0
0 9 0 N/A 52.01 82.94 N/A N/A 0.82 497 0 N/A 52.01 82.94 N/A N/A 0.82 497 0 N/A 64.8 85.5 N/A N/A 0.9 459 N/A N/A 0.0 0.0 N/A N/A 0.86 0 N/A N/A 0.0 0.0 N/A N/A 0.86 0 -1.9 0.0 0.0 -98.8 0.0 0.0 -100.4 0.0 0.0 82.9 0.0 82.9 0.0 85.5 0.0 0.0 0.0 0.0 -0.0
0 10 0 N/A 70.05 105.33 N/A N/A 0.77 777 0 N/A 70.05 105.33 N/A N/A 0.77 777 0 N/A 92.55 122.12 N/A N/A 0.9 784 N/A N/A 0.0 0.0 N/A N/A 0.83 0 N/A N/A 0.0 0.0 N/A N/A 0.83 0 -1.9 0.0 0.0 -128.3 0.0 0.0 -136.0 0.0 0.0 105.3 0.0 105.3 0.0 122.1 0.0 0.0 0.0 0.0 -0.0
